[Epoch 0] Step: 200 | Loss: 0.00066 | Dist: 0.00066 | Rate: 0.37259
[Epoch 0] Step: 400 | Loss: 0.00046 | Dist: 0.00046 | Rate: 0.36934
[Epoch 0] Step: 600 | Loss: 0.00046 | Dist: 0.00046 | Rate: 0.36862
[Epoch 0] Step: 800 | Loss: 0.00044 | Dist: 0.00044 | Rate: 0.3683
[Epoch 0] Step: 1000 | Loss: 0.00043 | Dist: 0.00043 | Rate: 0.36813
[Epoch 0] Step: 1200 | Loss: 0.00038 | Dist: 0.00038 | Rate: 0.36827
[Epoch 0] Step: 1400 | Loss: 0.00035 | Dist: 0.00035 | Rate: 0.36829
[Epoch 0] Step: 1600 | Loss: 0.00032 | Dist: 0.00032 | Rate: 0.36828
[Epoch 0] Step: 1800 | Loss: 0.0003 | Dist: 0.0003 | Rate: 0.3683
[Epoch 0] Step: 2000 | Loss: 0.00031 | Dist: 0.00031 | Rate: 0.36846
[Epoch 0] Step: 2200 | Loss: 0.00028 | Dist: 0.00028 | Rate: 0.36838
[Epoch 0] Step: 2400 | Loss: 0.00029 | Dist: 0.00029 | Rate: 0.36861
[Epoch 0] Step: 2600 | Loss: 0.00028 | Dist: 0.00028 | Rate: 0.36897
[Epoch 0] Step: 2800 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.36882
[Epoch 0] Step: 3000 | Loss: 0.00028 | Dist: 0.00028 | Rate: 0.36911
[Epoch 0] Step: 3200 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.36914
[Epoch 0] Step: 3400 | Loss: 0.00028 | Dist: 0.00028 | Rate: 0.36929
[Epoch 0] Step: 3600 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.36938
[Epoch 0] Step: 3800 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.36922
[Epoch 0] Step: 4000 | Loss: 0.0003 | Dist: 0.0003 | Rate: 0.36969
[Epoch 0] Step: 4200 | Loss: 0.00029 | Dist: 0.00029 | Rate: 0.3697
[Epoch 0] Step: 4400 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.36983
[Epoch 0] Step: 4600 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.37004
[Epoch 0] Step: 4800 | Loss: 0.00028 | Dist: 0.00028 | Rate: 0.37018
[Epoch 0] Step: 5000 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.37026
[Epoch 0] Step: 5200 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.09881
[Epoch 0] Step: 5400 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.00882
[Epoch 0] Step: 5600 | Loss: 0.0003 | Dist: 0.0003 | Rate: 0.00811
[Epoch 0] Step: 5800 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.00787
[Epoch 0] Step: 6000 | Loss: 0.00028 | Dist: 0.00028 | Rate: 0.00727
[Epoch 0] Step: 6200 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.00701
[Epoch 0] Step: 6400 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.00664
[Epoch 0] Step: 6600 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.00679
[Epoch 0] Step: 6800 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.00573
[Epoch 0] Step: 7000 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.00559
[Epoch 0] Step: 7200 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.00563
[Epoch 0] Step: 7400 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.0054
[Epoch 0] Step: 7600 | Loss: 0.00024 | Dist: 0.00024 | Rate: 0.00517
[Epoch 0] Step: 7800 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.00541
[Epoch 0] Step: 8000 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.0049
[Epoch 0] Step: 8200 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.00513
[Epoch 0] Step: 8400 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.00464
[Epoch 0] Step: 8600 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.00486
[Epoch 0] Step: 8800 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.00508
[Epoch 0] Step: 9000 | Loss: 0.00028 | Dist: 0.00028 | Rate: 0.00431
[Epoch 0] Step: 9200 | Loss: 0.00024 | Dist: 0.00024 | Rate: 0.00417
[Epoch 0] Step: 9400 | Loss: 0.00023 | Dist: 0.00023 | Rate: 0.00444
[Epoch 0] Step: 9600 | Loss: 0.00023 | Dist: 0.00023 | Rate: 0.00413
[Epoch 0] Step: 9800 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.00421
[Epoch 1] Step: 10000 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.00419
[Epoch 1] Step: 10200 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.00415
