[Epoch 0] Step: 200 | Loss: 0.00064| Dist: 0.00064 | Rate: 0.36997 
[Epoch 0] Step: 400 | Loss: 0.00047| Dist: 0.00047 | Rate: 0.36451 
[Epoch 0] Step: 600 | Loss: 0.00045| Dist: 0.00045 | Rate: 0.36193 
[Epoch 0] Step: 800 | Loss: 0.00043| Dist: 0.00043 | Rate: 0.36157 
[Epoch 0] Step: 1000 | Loss: 0.00047| Dist: 0.00047 | Rate: 0.36116 
[Epoch 0] Step: 1200 | Loss: 0.00038| Dist: 0.00038 | Rate: 0.3614 
[Epoch 0] Step: 1400 | Loss: 0.00037| Dist: 0.00037 | Rate: 0.36151 
[Epoch 0] Step: 1600 | Loss: 0.00038| Dist: 0.00038 | Rate: 0.36268 
[Epoch 0] Step: 1800 | Loss: 0.00032 | Dist: 0.00032 | Rate: 0.36423
[Epoch 0] Step: 2000 | Loss: 0.0003 | Dist: 0.0003 | Rate: 0.36626
[Epoch 0] Step: 2200 | Loss: 0.00029 | Dist: 0.00029 | Rate: 0.37301
[Epoch 0] Step: 2400 | Loss: 0.00027 | Dist: 0.00027 | Rate: 0.38383
[Epoch 0] Step: 2600 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.40158
[Epoch 0] Step: 2800 | Loss: 0.00026 | Dist: 0.00026 | Rate: 0.42732
[Epoch 0] Step: 3000 | Loss: 0.00022 | Dist: 0.00022 | Rate: 0.45553
[Epoch 0] Step: 3200 | Loss: 0.00024 | Dist: 0.00024 | Rate: 0.47222
[Epoch 0] Step: 3400 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.4841
[Epoch 0] Step: 3600 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.50839
[Epoch 0] Step: 3800 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.53834
[Epoch 0] Step: 4000 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.54768
[Epoch 0] Step: 4200 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.58025
[Epoch 0] Step: 4400 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.60268
[Epoch 0] Step: 4600 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.60246
[Epoch 0] Step: 4800 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.61941
[Epoch 0] Step: 5000 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.64031
[Epoch 0] Step: 5200 | Loss: 0.00025 | Dist: 0.00025 | Rate: 0.44665
[Epoch 0] Step: 5400 | Loss: 0.00023 | Dist: 0.00023 | Rate: 0.29743
[Epoch 0] Step: 5600 | Loss: 0.00022 | Dist: 0.00022 | Rate: 0.23126
[Epoch 0] Step: 5800 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.20211
[Epoch 0] Step: 6000 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.19607
[Epoch 0] Step: 6200 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.19262
[Epoch 0] Step: 6400 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.19797
[Epoch 0] Step: 6600 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.18418
[Epoch 0] Step: 6800 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.18465
[Epoch 0] Step: 7000 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.17679
[Epoch 0] Step: 7200 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.17446
[Epoch 0] Step: 7400 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.17206
[Epoch 0] Step: 7600 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.16726
[Epoch 0] Step: 7800 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16736
[Epoch 0] Step: 8000 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.16747
[Epoch 0] Step: 8200 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.17394
[Epoch 0] Step: 8400 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16717
[Epoch 0] Step: 8600 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.17358
[Epoch 0] Step: 8800 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.1648
[Epoch 0] Step: 9000 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.17021
[Epoch 0] Step: 9200 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.1655
[Epoch 0] Step: 9400 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.16643
[Epoch 0] Step: 9600 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.15901
[Epoch 0] Step: 9800 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16879
[Epoch 0] Step: 10000 | Loss: 0.0002 | Dist: 0.0002 | Rate: 0.16161
[Epoch 0] Step: 10200 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.1609
[Epoch 0] Step: 10400 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16507
[Epoch 0] Step: 10600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16537
[Epoch 0] Step: 10800 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16263
[Epoch 0] Step: 11000 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16046
[Epoch 0] Step: 11200 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16242
[Epoch 0] Step: 11400 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.15895
[Epoch 0] Step: 11600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15893
[Epoch 1] Step: 11800 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16251
[Epoch 1] Step: 12000 | Loss: 0.00021 | Dist: 0.00021 | Rate: 0.15883
[Epoch 1] Step: 12200 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16435
[Epoch 1] Step: 12400 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.1621
[Epoch 1] Step: 12600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15776
[Epoch 1] Step: 12800 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16025
[Epoch 1] Step: 13000 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16
[Epoch 1] Step: 13200 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16348
[Epoch 1] Step: 13400 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16593
[Epoch 1] Step: 13600 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.15977
[Epoch 1] Step: 13800 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15909
[Epoch 1] Step: 14000 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15774
[Epoch 1] Step: 14200 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.15771
[Epoch 1] Step: 14400 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15952
[Epoch 1] Step: 14600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.1584
[Epoch 1] Step: 14800 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.1592
[Epoch 1] Step: 15000 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.15892
[Epoch 1] Step: 15200 | Loss: 0.00016 | Dist: 0.00016 | Rate: 0.1558
[Epoch 1] Step: 15400 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15673
[Epoch 1] Step: 15600 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.15979
[Epoch 1] Step: 15800 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16472
[Epoch 1] Step: 16000 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16253
[Epoch 1] Step: 16200 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.15987
[Epoch 1] Step: 16400 | Loss: 0.00016 | Dist: 0.00016 | Rate: 0.15486
[Epoch 1] Step: 16600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15172
[Epoch 1] Step: 16800 | Loss: 0.00016 | Dist: 0.00016 | Rate: 0.15911
[Epoch 1] Step: 17000 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.1626
[Epoch 1] Step: 17200 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16388
[Epoch 1] Step: 17400 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.162
[Epoch 1] Step: 17600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15821
[Epoch 1] Step: 17800 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.15967
[Epoch 1] Step: 18000 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15542
[Epoch 1] Step: 18200 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16022
[Epoch 1] Step: 18400 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15837
[Epoch 1] Step: 18600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15683
[Epoch 1] Step: 18800 | Loss: 0.00016 | Dist: 0.00016 | Rate: 0.15479
[Epoch 1] Step: 19000 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15666
[Epoch 1] Step: 19200 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16126
[Epoch 1] Step: 19400 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16198
[Epoch 1] Step: 19600 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16145
[Epoch 1] Step: 19800 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16185
[Epoch 1] Step: 20000 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16192
[Epoch 1] Step: 20200 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.15893
[Epoch 1] Step: 20400 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.15504
[Epoch 1] Step: 20600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.15994
[Epoch 1] Step: 20800 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16263
[Epoch 1] Step: 21000 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16219
[Epoch 1] Step: 21200 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16249
[Epoch 1] Step: 21400 | Loss: 0.00016 | Dist: 0.00016 | Rate: 0.15589
[Epoch 2] Step: 21600 | Loss: 0.00018 | Dist: 0.00018 | Rate: 0.16019
[Epoch 2] Step: 21800 | Loss: 0.00019 | Dist: 0.00019 | Rate: 0.16541
[Epoch 2] Step: 22000 | Loss: 0.00017 | Dist: 0.00017 | Rate: 0.16066
